WL(nm)	WV2 Coastal Blue	WV2 Blue	WV2 Green	WV2 Yellow	WV2 Red	WV2 RedEdge	WV2 NIR1	WV2 NIR2
717.5	0.0000292	0.0000134	0.0000011	0.0000008	0.0000162	0.9890260	0.0000044	0.0000009
720	0.0000976	0.0000124	0.0000011	0.0000012	0.0000142	0.9939010	0.0000050	0.0000009
722.5	0.0000936	0.0000120	0.0000011	0.0000011	0.0000168	0.9998580	0.0000060	0.0000006
725	0.0000333	0.0000149	0.0000010	0.0000015	0.0000133	0.9992800	0.0000066	0.0000010
727.5	0.0000238	0.0000224	0.0000013	0.0000013	0.0000144	0.9894170	0.0000111	0.0000009
730	0.0000298	0.0000310	0.0000009	0.0000012	0.0000132	0.9868130	0.0000162	0.0000007
732.5	0.0000442	0.0000326	0.0000011	0.0000011	0.0000125	0.9809620	0.0000284	0.0000007
735	0.0000669	0.0000310	0.0000008	0.0000013	0.0000106	0.9771160	0.0000440	0.0000009
737.5	0.0001526	0.0000340	0.0000008	0.0000013	0.0000061	0.9441910	0.0000705	0.0000011
740	0.0004227	0.0000454	0.0000010	0.0000010	0.0000031	0.8463990	0.0001061	0.0000006
742.5	0.0002563	0.0000611	0.0000012	0.0000009	0.0000034	0.6158370	0.0001653	0.0000009
745	0.0000653	0.0000653	0.0000008	0.0000011	0.0000015	0.3597630	0.0002562	0.0000010
747.5	0.0000414	0.0000523	0.0000010	0.0000011	0.0000014	0.1388130	0.0004123	0.0000010
750	0.0000578	0.0000415	0.0000011	0.0000010	0.0000012	0.0305442	0.0007130	0.0000012
752.5	0.0002646	0.0000420	0.0000013	0.0000008	0.0000004	0.0070917	0.0013994	0.0000009
755	0.0007112	0.0000510	0.0000011	0.0000009	0.0000006	0.0021585	0.0028857	0.0000008
757.5	0.0004411	0.0000638	0.0000010	0.0000008	0.0000012	0.0007300	0.0059533	0.0000005
760	0.0000894	0.0000645	0.0000011	0.0000008	0.0000030	0.0002699	0.0126868	0.0000008
762.5	0.0000305	0.0000492	0.0000012	0.0000009	0.0000050	0.0001188	0.0276938	0.0000007
765	0.0000131	0.0000354	0.0000014	0.0000008	0.0000095	0.0000553	0.0588599	0.0000009
767.5	0.0000081	0.0000300	0.0000012	0.0000008	0.0000073	0.0000240	0.1231170	0.0000006
770	0.0000060	0.0000320	0.0000017	0.0000006	0.0000067	0.0000096	0.2602040	0.0000005
772.5	0.0000059	0.0000400	0.0000035	0.0000005	0.0000089	0.0000069	0.5067740	0.0000011
775	0.0000070	0.0000444	0.0000040	0.0000005	0.0000069	0.0000053	0.7599670	0.0000010
777.5	0.0000112	0.0000393	0.0000027	0.0000006	0.0000049	0.0000033	0.9405800	0.0000005
780	0.0000193	0.0000299	0.0000014	0.0000007	0.0000055	0.0000043	0.9958050	0.0000006
782.5	0.0000331	0.0000248	0.0000010	0.0000002	0.0000022	0.0000040	0.9976220	0.0000009
785	0.0000553	0.0000245	0.0000008	0.0000004	0.0000015	0.0000051	0.9889070	0.0000009
787.5	0.0001062	0.0000294	0.0000007	0.0000006	0.0000005	0.0000077	0.9830910	0.0000008
790	0.0002462	0.0000405	0.0000003	0.0000003	0.0000022	0.0000083	0.9729340	0.0000012
792.5	0.0002458	0.0000507	0.0000007	0.0000004	0.0000007	0.0000094	0.9583120	0.0001141
795	0.0001162	0.0000515	0.0000008	0.0000006	0.0000006	0.0000064	0.9411390	0.0004534
797.5	0.0000691	0.0000447	0.0000011	0.0000006	0.0000009	0.0000050	0.9319070	0.0005047
800	0.0001216	0.0000595	0.0000010	0.0000234	0.0000138	0.0000001	0.9193820	0.0007796
802.5	0.0001248	0.0000543	0.0000026	0.0000159	0.0000140	0.0000003	0.9090800	0.0010461
805	0.0001605	0.0000609	0.0000009	0.0000189	0.0000134	0.0000003	0.8976000	0.0009763
807.5	0.0001959	0.0000773	0.0000002	0.0000213	0.0000163	0.0000003	0.8821200	0.0011133
810	0.0001637	0.0000848	0.0000000	0.0000113	0.0000106	0.0000002	0.8711910	0.0010687
812.5	0.0001168	0.0000927	0.0000000	0.0000140	0.0000124	0.0000003	0.8630540	0.0010909
815	0.0000928	0.0000950	0.0000000	0.0000189	0.0000108	0.0000002	0.8442840	0.0010955
817.5	0.0000797	0.0000805	0.0000000	0.0000200	0.0000077	0.0000002	0.8364960	0.0011311
820	0.0000730	0.0000570	0.0000000	0.0000194	0.0000089	0.0000002	0.8380360	0.0010945
